Id	CommandLine
324	kubectl get pods
325	kubectl delete deploy,svc app1
326	kubectl get pods
327	kubectl get ingress
328	kubectl delete ingress ingress
329	kubectl get ingress
330	kubectl get pods
331	kubectl get pods
332	kubectl get pods
333	kubectl get svc
334	kubectl get ingress
335	cd \
336	cd .\Users\Usuario\Downloads\
337	git clone https://github.com/vmoraprd/k8schalenge.git
338	ls
339	cd .\k8schalenge\
340	ls
